_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
161,13445027.0,Cummer Ave,Willowdale Ave,161,161,161,CUMMER AVE,WILLOWDALE AVE,6180,806,Cummer Ave And Willowdale Ave,None,CUMMER AVE,WILLOWDALE AVE,None,None,None,North York,Willowdale(18),None,None,None,32,None,None,2021-05-25T04:00:00,"{'type': 'Point', 'coordinates': (-79.409916994778, 43.7886630024238)}"
162,13446551.0,Sheppard Ave E,Victoria Park Ave,162,162,162,SHEPPARD AVE E,VICTORIA PARK AVE,6181,748,Sheppard Ave E And Victoria Park Ave,None,SHEPPARD AVE E,VICTORIA PARK AVE,None,None,None,North York,Don Valley North(17),Scarborough-Agincourt(22),None,None,33,42,None,2021-05-27T04:00:00,"{'type': 'Point', 'coordinates': (-79.32301700056752, 43.7752440086096)}"
163,13446970.0,Bathurst St,Finch Ave W,163,163,163,BATHURST ST,FINCH AVE W,6182,675,Bathurst St And Finch Ave W,None,BATHURST ST,FINCH AVE W,None,None,None,North York,York Centre(6),Willowdale(18),None,None,32,None,None,2021-07-29T04:00:00,"{'type': 'Point', 'coordinates': (-79.4430079979777, 43.7738590056771)}"
164,13444423.0,Finch Ave E,Don Mills Rd,164,164,164,FINCH AVE E,DON MILLS RD,6183,869,Finch Ave E And Don Mills Rd,None,FINCH AVE E,DON MILLS RD,None,None,None,North York,Don Valley North(17),None,None,None,33,None,None,2021-05-07T04:00:00,"{'type': 'Point', 'coordinates': (-79.3547360041712, 43.7926600047163)}"
165,13447496.0,Ellesmere Rd,Midland Ave,165,165,165,ELLESMERE RD,MIDLAND AVE,6184,697,Ellesmere Rd And Midland Ave,None,ELLESMERE RD,MIDLAND AVE,None,None,None,Scarborough,Scarborough Centre(21),None,None,None,41,None,None,2022-07-28T04:00:00,"{'type': 'Point', 'coordinates': (-79.2711099947681, 43.7679240068039)}"
166,13446896.0,Steeles Ave W,Jane St,166,166,166,STEELES AVE W,JANE ST,6185,535,Steeles Ave W And Jane St,None,STEELES AVE W,JANE ST,None,None,None,Etobicoke York,Humber River-Black Creek(7),None,None,None,31,None,None,2021-03-05T05:00:00,"{'type': 'Point', 'coordinates': (-79.5217349954741, 43.775470007186)}"
167,13452283.0,Sheppard Ave W,Jane St,167,167,167,SHEPPARD AVE W,JANE ST,6186,533,Sheppard Ave W And Jane St,None,SHEPPARD AVE W,JANE ST,None,None,None,Etobicoke York,Humber River-Black Creek(7),York Centre(6),None,None,31,None,None,2021-05-14T04:00:00,"{'type': 'Point', 'coordinates': (-79.5132209984939, 43.73938900464711)}"
168,13449830.0,Lawrence Ave E,Midland Ave,168,168,168,LAWRENCE AVE E,MIDLAND AVE,6187,413,Lawrence Ave E And Midland Ave,None,LAWRENCE AVE E,MIDLAND AVE,None,None,None,Scarborough,Scarborough Centre(21),None,None,None,41,None,None,2021-09-30T04:00:00,"{'type': 'Point', 'coordinates': (-79.2650520049525, 43.7515209975058)}"
169,13446827.0,McCowan Rd,Ellesmere Rd,169,169,169,MCCOWAN RD,ELLESMERE RD,6188,699,Mccowan Rd And Ellesmere Rd,None,MCCOWAN RD,ELLESMERE RD,None,None,None,Scarborough,Scarborough Centre(21),Scarborough-Guildwood(24),None,None,43,None,None,2021-08-27T04:00:00,"{'type': 'Point', 'coordinates': (-79.251497995166, 43.7721420056226)}"
170,13454098.0,Dufferin St,Bridgeland Ave,170,170,170,DUFFERIN ST,BRIDGELAND AVE,6189,616,Dufferin St And Bridgeland Ave / Yorkdale Rd,None,DUFFERIN ST,BRIDGELAND AVE,YORKDALE RD,None,None,North York,Eglinton-Lawrence(8),None,None,None,32,None,None,2022-07-22T04:00:00,"{'type': 'Point', 'coordinates': (-79.4576530092748, 43.726995007703806)}"
